sessionID,stationID,siteID,connectionTime,doneChargingTime,disconnectTime,kWhDelivered,charging_duration_minutes,connection_duration_minutes,charging_date,hour,day_of_week,month
2_39_78_366_2018-04-25 15:14:06.329009,2-39-78-366,0002,2018-04-25T15:14:06.000+05:30,2018-04-25T18:33:20.000+05:30,2018-04-25T18:33:30.000+05:30,6.955,199.23333333333332,199.4,2018-04-25,15,4,4
2_39_91_437_2018-04-25 15:14:41.260754,2-39-91-437,0002,2018-04-25T15:14:41.000+05:30,2018-04-25T16:18:11.000+05:30,2018-04-26T02:26:03.000+05:30,3.249,63.5,671.3666666666667,2018-04-25,15,4,4
2_39_78_361_2018-04-25 15:14:48.537248,2-39-78-361,0002,2018-04-25T15:14:49.000+05:30,2018-04-25T16:42:00.000+05:30,2018-04-25T23:52:50.000+05:30,2.72,87.18333333333334,518.0166666666667,2018-04-25,15,4,4
2_39_78_360_2018-04-25 15:20:55.688491,2-39-78-360,0002,2018-04-25T15:20:56.000+05:30,2018-04-25T16:07:41.000+05:30,2018-04-25T23:49:32.000+05:30,2.575,46.75,508.6,2018-04-25,15,4,4
2_39_125_21_2018-04-25 15:30:31.466431,2-39-125-21,0002,2018-04-25T15:30:31.000+05:30,2018-04-25T18:54:57.000+05:30,2018-04-25T19:47:51.000+05:30,5.4,204.43333333333334,257.3333333333333,2018-04-25,15,4,4
2_39_78_365_2018-04-25 15:31:42.314475,2-39-78-365,0002,2018-04-25T15:31:42.000+05:30,2018-04-25T18:26:57.000+05:30,2018-04-26T00:57:15.000+05:30,4.929,175.25,565.55,2018-04-25,15,4,4
2_39_127_19_2018-04-25 15:33:45.414350,2-39-127-19,0002,2018-04-25T15:33:45.000+05:30,2018-04-25T17:49:46.000+05:30,2018-04-26T00:42:15.000+05:30,4.043,136.01666666666668,548.5,2018-04-25,15,4,4
2_39_79_383_2018-04-25 15:44:41.818763,2-39-79-383,0002,2018-04-25T15:44:42.000+05:30,2018-04-25T17:40:09.000+05:30,2018-04-26T00:41:45.000+05:30,2.49,115.45,537.05,2018-04-25,15,4,4
2_39_89_25_2018-04-25 15:48:22.693006,2-39-89-25,0002,2018-04-25T15:48:23.000+05:30,2018-04-25T18:06:06.000+05:30,2018-04-26T00:32:18.000+05:30,5.95,137.71666666666667,523.9166666666666,2018-04-25,15,4,4
2_39_95_444_2018-04-25 15:51:20.521751,2-39-95-444,0002,2018-04-25T15:51:21.000+05:30,2018-04-25T17:56:52.000+05:30,2018-04-26T00:32:44.000+05:30,4.474,125.51666666666667,521.3833333333333,2018-04-25,15,4,4
2_39_124_22_2018-04-25 15:53:29.117069,2-39-124-22,0002,2018-04-25T15:53:29.000+05:30,2018-04-25T19:55:15.000+05:30,2018-04-26T00:28:12.000+05:30,6.531,241.76666666666668,514.7166666666667,2018-04-25,15,4,4
2_39_89_439_2018-04-25 15:57:29.146101,2-39-89-439,0002,2018-04-25T15:57:29.000+05:30,2018-04-25T18:23:12.000+05:30,2018-04-26T01:28:29.000+05:30,6.023,145.71666666666667,571.0,2018-04-25,15,4,4
2_39_92_442_2018-04-25 15:59:23.996834,2-39-92-442,0002,2018-04-25T15:59:24.000+05:30,2018-04-25T18:27:10.000+05:30,2018-04-26T00:51:51.000+05:30,9.553,147.76666666666668,532.45,2018-04-25,15,4,4
2_39_123_23_2018-04-25 16:01:25.950919,2-39-123-23,0002,2018-04-25T16:01:26.000+05:30,2018-04-26T00:14:16.000+05:30,2018-04-26T00:33:06.000+05:30,14.693,492.8333333333333,511.6666666666667,2018-04-25,16,4,4
2_39_90_440_2018-04-25 16:02:03.486354,2-39-90-440,0002,2018-04-25T16:02:03.000+05:30,2018-04-25T17:14:25.000+05:30,2018-04-25T21:31:50.000+05:30,2.207,72.36666666666666,329.78333333333336,2018-04-25,16,4,4
2_39_78_364_2018-04-25 16:02:09.867816,2-39-78-364,0002,2018-04-25T16:02:10.000+05:30,2018-04-25T19:27:51.000+05:30,2018-04-25T19:27:55.000+05:30,9.153,205.68333333333334,205.75,2018-04-25,16,4,4
2_39_88_24_2018-04-25 16:03:58.630483,2-39-88-24,0002,2018-04-25T16:03:59.000+05:30,2018-04-25T22:19:58.000+05:30,2018-04-25T23:57:15.000+05:30,17.446,375.98333333333335,473.26666666666665,2018-04-25,16,4,4
2_39_90_26_2018-04-25 16:04:30.761826,2-39-90-26,0002,2018-04-25T16:04:31.000+05:30,2018-04-25T18:13:16.000+05:30,2018-04-26T01:42:00.000+05:30,4.548,128.75,577.4833333333333,2018-04-25,16,4,4
2_39_88_438_2018-04-25 16:25:51.104829,2-39-88-438,0002,2018-04-25T16:25:51.000+05:30,2018-04-25T22:30:41.000+05:30,2018-04-25T22:30:46.000+05:30,32.708,364.8333333333333,364.9166666666667,2018-04-25,16,4,4
2_39_78_363_2018-04-25 16:38:01.120020,2-39-78-363,0002,2018-04-25T16:38:01.000+05:30,2018-04-25T18:48:11.000+05:30,2018-04-26T00:00:51.000+05:30,6.764,130.16666666666666,442.8333333333333,2018-04-25,16,4,4
2_39_79_378_2018-04-25 16:52:05.160592,2-39-79-378,0002,2018-04-25T16:52:05.000+05:30,2018-04-25T21:40:57.000+05:30,2018-04-26T01:53:12.000+05:30,10.879,288.8666666666667,541.1166666666667,2018-04-25,16,4,4
2_39_123_557_2018-04-25 17:06:18.267849,2-39-123-557,0002,2018-04-25T17:06:18.000+05:30,2018-04-25T19:21:33.000+05:30,2018-04-26T02:10:51.000+05:30,5.07,135.25,544.55,2018-04-25,17,4,4
2_39_79_382_2018-04-25 18:22:03.219076,2-39-79-382,0002,2018-04-25T18:22:03.000+05:30,2018-04-26T01:41:10.000+05:30,2018-04-29T00:24:02.000+05:30,6.337,439.1166666666667,4681.983333333334,2018-04-25,18,4,4
2_39_78_366_2018-04-25 18:47:11.743708,2-39-78-366,0002,2018-04-25T18:47:12.000+05:30,2018-04-25T19:36:31.000+05:30,2018-04-25T19:36:38.000+05:30,2.375,49.31666666666667,49.43333333333333,2018-04-25,18,4,4
2_39_78_362_2018-04-25 19:32:04.994953,2-39-78-362,0002,2018-04-25T19:32:05.000+05:30,2018-04-25T21:47:47.000+05:30,2018-04-25T21:46:47.000+05:30,6.523,135.7,134.7,2018-04-25,19,4,4
2_39_78_367_2018-04-25 19:33:01.165970,2-39-78-367,0002,2018-04-25T19:33:01.000+05:30,2018-04-25T20:25:58.000+05:30,2018-04-25T23:43:32.000+05:30,2.203,52.95,250.51666666666668,2018-04-25,19,4,4
2_39_91_441_2018-04-25 19:40:02.051458,2-39-91-441,0002,2018-04-25T19:40:02.000+05:30,2018-04-25T22:07:12.000+05:30,2018-04-26T00:17:12.000+05:30,7.738,147.16666666666666,277.1666666666667,2018-04-25,19,4,4
2_39_79_377_2018-04-25 19:41:42.209444,2-39-79-377,0002,2018-04-25T19:41:42.000+05:30,2018-04-25T23:12:06.000+05:30,2018-04-26T00:35:28.000+05:30,12.94,210.4,293.76666666666665,2018-04-25,19,4,4
2_39_78_366_2018-04-25 19:43:13.444818,2-39-78-366,0002,2018-04-25T19:43:13.000+05:30,2018-04-26T00:56:17.000+05:30,2018-04-26T00:56:23.000+05:30,14.328,313.06666666666666,313.1666666666667,2018-04-25,19,4,4
2_39_79_376_2018-04-25 20:14:49.585487,2-39-79-376,0002,2018-04-25T20:14:50.000+05:30,2018-04-25T23:28:12.000+05:30,2018-04-25T23:56:33.000+05:30,4.189,193.36666666666667,221.71666666666667,2018-04-25,20,4,4
2_39_125_21_2018-04-25 20:30:48.546707,2-39-125-21,0002,2018-04-25T20:30:49.000+05:30,2018-04-25T21:05:52.000+05:30,2018-04-26T02:52:48.000+05:30,0.829,35.05,381.98333333333335,2018-04-25,20,4,4
2_39_78_362_2018-04-25 21:57:41.664229,2-39-78-362,0002,2018-04-25T21:57:42.000+05:30,2018-04-26T03:07:23.000+05:30,2018-04-26T03:06:25.000+05:30,27.743,309.68333333333334,308.71666666666664,2018-04-25,21,4,4
2_39_90_440_2018-04-25 22:17:32.279706,2-39-90-440,0002,2018-04-25T22:17:32.000+05:30,2018-04-26T01:13:17.000+05:30,2018-04-26T02:07:17.000+05:30,12.692,175.75,229.75,2018-04-25,22,4,4
2_39_88_438_2018-04-25 22:42:48.381752,2-39-88-438,0002,2018-04-25T22:42:48.000+05:30,2018-04-25T23:18:46.000+05:30,2018-04-25T23:36:11.000+05:30,1.304,35.96666666666667,53.38333333333333,2018-04-25,22,4,4
2_39_79_380_2018-04-26 00:02:15.719927,2-39-79-380,0002,2018-04-26T00:02:16.000+05:30,2018-04-26T02:00:58.000+05:30,2018-04-26T02:11:35.000+05:30,11.466,118.7,129.31666666666666,2018-04-26,0,5,4
2_39_79_379_2018-04-26 00:03:03.183150,2-39-79-379,0002,2018-04-26T00:03:03.000+05:30,2018-04-26T03:32:19.000+05:30,2018-04-26T04:31:41.000+05:30,11.695,209.26666666666668,268.6333333333333,2018-04-26,0,5,4
2_39_88_438_2018-04-26 00:05:36.143402,2-39-88-438,0002,2018-04-26T00:05:36.000+05:30,2018-04-26T00:30:52.000+05:30,2018-04-26T00:31:05.000+05:30,2.87,25.266666666666666,25.483333333333334,2018-04-26,0,5,4
2_39_79_381_2018-04-26 00:07:09.533117,2-39-79-381,0002,2018-04-26T00:07:10.000+05:30,2018-04-26T01:16:50.000+05:30,2018-04-26T04:17:45.000+05:30,2.264,69.66666666666667,250.58333333333334,2018-04-26,0,5,4
2_39_78_367_2018-04-26 01:21:27.557439,2-39-78-367,0002,2018-04-26T01:21:28.000+05:30,2018-04-26T09:20:00.000+05:30,2018-04-26T11:31:13.000+05:30,1.02,478.53333333333336,609.75,2018-04-26,1,5,4
2_39_139_28_2018-04-26 01:40:28.805199,2-39-139-28,0002,2018-04-26T01:40:29.000+05:30,2018-04-26T02:32:53.000+05:30,2018-04-26T04:00:22.000+05:30,5.023,52.4,139.88333333333333,2018-04-26,1,5,4
2_39_127_19_2018-04-26 01:48:54.561755,2-39-127-19,0002,2018-04-26T01:48:55.000+05:30,2018-04-26T03:18:33.000+05:30,2018-04-26T04:00:36.000+05:30,8.693,89.63333333333334,131.68333333333334,2018-04-26,1,5,4
2_39_138_29_2018-04-26 01:49:57.021388,2-39-138-29,0002,2018-04-26T01:49:57.000+05:30,2018-04-26T02:41:30.000+05:30,2018-04-26T03:48:38.000+05:30,4.915,51.55,118.68333333333334,2018-04-26,1,5,4
2_39_123_23_2018-04-26 02:17:10.267290,2-39-123-23,0002,2018-04-26T02:17:10.000+05:30,2018-04-26T04:29:34.000+05:30,2018-04-26T04:29:39.000+05:30,13.892,132.4,132.48333333333332,2018-04-26,2,5,4
2_39_128_18_2018-04-26 02:25:13.890489,2-39-128-18,0002,2018-04-26T02:25:14.000+05:30,2018-04-26T02:36:19.000+05:30,2018-04-26T02:36:24.000+05:30,1.155,11.083333333333334,11.166666666666666,2018-04-26,2,5,4
2_39_95_27_2018-04-26 02:36:01.816238,2-39-95-27,0002,2018-04-26T02:36:02.000+05:30,2018-04-26T04:34:34.000+05:30,2018-04-26T04:38:47.000+05:30,11.891,118.53333333333333,122.75,2018-04-26,2,5,4
2_39_91_437_2018-04-26 02:49:57.469463,2-39-91-437,0002,2018-04-26T02:49:57.000+05:30,2018-04-26T04:00:57.000+05:30,2018-04-26T04:24:44.000+05:30,6.956,71.0,94.78333333333333,2018-04-26,2,5,4
2_39_128_18_2018-04-26 03:07:04.059557,2-39-128-18,0002,2018-04-26T03:07:04.000+05:30,2018-04-26T03:29:55.000+05:30,2018-04-26T03:30:00.000+05:30,2.568,22.85,22.933333333333334,2018-04-26,3,5,4
2_39_79_378_2018-04-26 03:13:43.624162,2-39-79-378,0002,2018-04-26T03:13:44.000+05:30,2018-04-26T05:32:35.000+05:30,2018-04-26T16:47:48.000+05:30,6.503,138.85,814.0666666666667,2018-04-26,3,5,4
2_39_125_559_2018-04-26 03:33:57.793302,2-39-125-559,0002,2018-04-26T03:33:58.000+05:30,2018-04-26T04:46:04.000+05:30,2018-04-26T05:36:31.000+05:30,2.272,72.1,122.55,2018-04-26,3,5,4
2_39_139_28_2018-04-26 06:20:55.934927,2-39-139-28,0002,2018-04-26T06:20:56.000+05:30,2018-04-26T14:08:56.000+05:30,2018-04-26T14:09:01.000+05:30,13.926,468.0,468.0833333333333,2018-04-26,6,5,4
2_39_78_364_2018-04-26 11:31:16.750134,2-39-78-364,0002,2018-04-26T11:31:17.000+05:30,2018-04-26T12:51:30.000+05:30,2018-04-26T12:51:36.000+05:30,4.632,80.21666666666667,80.31666666666666,2018-04-26,11,5,4
2_39_95_27_2018-04-26 13:25:08.191051,2-39-95-27,0002,2018-04-26T13:25:08.000+05:30,2018-04-26T16:53:27.000+05:30,2018-04-27T01:17:37.000+05:30,12.138,208.31666666666666,712.4833333333333,2018-04-26,13,5,4
2_39_79_380_2018-04-26 13:54:16.774334,2-39-79-380,0002,2018-04-26T13:54:17.000+05:30,2018-04-26T23:07:12.000+05:30,2018-04-26T23:08:24.000+05:30,7.108,552.9166666666666,554.1166666666667,2018-04-26,13,5,4
2_39_139_28_2018-04-26 14:47:07.799179,2-39-139-28,0002,2018-04-26T14:47:08.000+05:30,2018-04-27T00:14:02.000+05:30,2018-04-27T00:59:45.000+05:30,13.155,566.9,612.6166666666667,2018-04-26,14,5,4
2_39_79_376_2018-04-26 14:59:44.094036,2-39-79-376,0002,2018-04-26T14:59:44.000+05:30,2018-04-26T16:09:28.000+05:30,2018-04-26T23:51:12.000+05:30,7.186,69.73333333333333,531.4666666666667,2018-04-26,14,5,4
2_39_79_381_2018-04-26 15:05:15.788498,2-39-79-381,0002,2018-04-26T15:05:16.000+05:30,2018-04-26T16:06:18.000+05:30,2018-04-27T00:10:21.000+05:30,2.354,61.03333333333333,545.0833333333334,2018-04-26,15,5,4
2_39_88_438_2018-04-26 15:05:55.670467,2-39-88-438,0002,2018-04-26T15:05:56.000+05:30,2018-04-26T17:09:59.000+05:30,2018-04-26T23:16:29.000+05:30,13.413,124.05,490.55,2018-04-26,15,5,4
2_39_78_360_2018-04-26 15:27:50.360165,2-39-78-360,0002,2018-04-26T15:27:50.000+05:30,2018-04-26T16:32:25.000+05:30,2018-04-27T00:14:34.000+05:30,6.14,64.58333333333333,526.7333333333333,2018-04-26,15,5,4
2_39_138_29_2018-04-26 15:28:14.862980,2-39-138-29,0002,2018-04-26T15:28:15.000+05:30,2018-04-26T19:00:07.000+05:30,2018-04-26T19:41:54.000+05:30,6.087,211.86666666666667,253.65,2018-04-26,15,5,4
2_39_78_365_2018-04-26 15:45:25.544690,2-39-78-365,0002,2018-04-26T15:45:26.000+05:30,2018-04-26T17:48:13.000+05:30,2018-04-27T00:30:02.000+05:30,6.298,122.78333333333333,524.6,2018-04-26,15,5,4
2_39_79_377_2018-04-26 15:46:05.101599,2-39-79-377,0002,2018-04-26T15:46:05.000+05:30,2018-04-26T16:55:21.000+05:30,2018-04-27T00:06:32.000+05:30,4.182,69.26666666666667,500.45,2018-04-26,15,5,4
2_39_91_437_2018-04-26 15:46:32.723647,2-39-91-437,0002,2018-04-26T15:46:33.000+05:30,2018-04-26T17:17:18.000+05:30,2018-04-26T22:41:11.000+05:30,4.846,90.75,414.6333333333333,2018-04-26,15,5,4
2_39_79_383_2018-04-26 15:47:39.378964,2-39-79-383,0002,2018-04-26T15:47:39.000+05:30,2018-04-26T16:40:35.000+05:30,2018-04-26T21:46:12.000+05:30,2.65,52.93333333333333,358.55,2018-04-26,15,5,4
2_39_90_26_2018-04-26 15:55:17.797592,2-39-90-26,0002,2018-04-26T15:55:18.000+05:30,2018-04-26T17:05:02.000+05:30,2018-04-26T19:27:14.000+05:30,2.997,69.73333333333333,211.93333333333334,2018-04-26,15,5,4
2_39_78_367_2018-04-26 15:56:03.627143,2-39-78-367,0002,2018-04-26T15:56:04.000+05:30,2018-04-26T16:55:02.000+05:30,2018-04-26T18:30:00.000+05:30,2.68,58.96666666666667,153.93333333333334,2018-04-26,15,5,4
2_39_126_20_2018-04-26 15:57:15.957331,2-39-126-20,0002,2018-04-26T15:57:16.000+05:30,2018-04-26T17:59:37.000+05:30,2018-04-27T00:33:13.000+05:30,3.54,122.35,515.95,2018-04-26,15,5,4
2_39_89_25_2018-04-26 15:59:52.547723,2-39-89-25,0002,2018-04-26T15:59:53.000+05:30,2018-04-26T16:44:39.000+05:30,2018-04-26T23:47:33.000+05:30,1.916,44.766666666666666,467.6666666666667,2018-04-26,15,5,4
2_39_78_361_2018-04-26 16:01:29.497269,2-39-78-361,0002,2018-04-26T16:01:29.000+05:30,2018-04-26T17:33:17.000+05:30,2018-04-27T00:01:37.000+05:30,2.757,91.8,480.1333333333333,2018-04-26,16,5,4
2_39_123_23_2018-04-26 16:01:58.184015,2-39-123-23,0002,2018-04-26T16:01:58.000+05:30,2018-04-26T19:20:10.000+05:30,2018-04-26T19:20:15.000+05:30,10.248,198.2,198.28333333333333,2018-04-26,16,5,4
2_39_125_21_2018-04-26 16:07:42.331384,2-39-125-21,0002,2018-04-26T16:07:42.000+05:30,2018-04-27T00:28:37.000+05:30,2018-04-27T00:44:12.000+05:30,14.0,500.9166666666667,516.5,2018-04-26,16,5,4
2_39_124_22_2018-04-26 16:09:34.799033,2-39-124-22,0002,2018-04-26T16:09:35.000+05:30,2018-04-26T23:49:35.000+05:30,2018-04-26T23:56:57.000+05:30,14.01,460.0,467.3666666666667,2018-04-26,16,5,4
2_39_128_18_2018-04-26 16:20:51.916248,2-39-128-18,0002,2018-04-26T16:20:52.000+05:30,2018-04-26T18:24:24.000+05:30,2018-04-26T18:24:32.000+05:30,6.709,123.53333333333333,123.66666666666667,2018-04-26,16,5,4
2_39_88_24_2018-04-26 16:21:30.898949,2-39-88-24,0002,2018-04-26T16:21:31.000+05:30,2018-04-27T03:18:29.000+05:30,2018-04-27T03:18:49.000+05:30,25.981,656.9666666666667,657.3,2018-04-26,16,5,4
2_39_90_440_2018-04-26 16:38:46.876156,2-39-90-440,0002,2018-04-26T16:38:47.000+05:30,2018-04-26T18:37:00.000+05:30,2018-04-27T00:49:04.000+05:30,4.263,118.21666666666667,490.28333333333336,2018-04-26,16,5,4
2_39_91_441_2018-04-26 16:41:11.622709,2-39-91-441,0002,2018-04-26T16:41:12.000+05:30,2018-04-26T19:26:14.000+05:30,2018-04-26T19:26:19.000+05:30,5.723,165.03333333333333,165.11666666666667,2018-04-26,16,5,4
2_39_92_442_2018-04-26 16:53:04.473197,2-39-92-442,0002,2018-04-26T16:53:04.000+05:30,2018-04-26T18:25:40.000+05:30,2018-04-27T01:26:00.000+05:30,4.384,92.6,512.9333333333333,2018-04-26,16,5,4
2_39_78_364_2018-04-26 16:58:20.585146,2-39-78-364,0002,2018-04-26T16:58:21.000+05:30,2018-04-27T00:22:10.000+05:30,2018-04-27T00:22:16.000+05:30,9.914,443.81666666666666,443.9166666666667,2018-04-26,16,5,4
2_39_78_362_2018-04-26 17:08:18.246027,2-39-78-362,0002,2018-04-26T17:08:18.000+05:30,2018-04-27T00:56:59.000+05:30,2018-04-27T00:56:01.000+05:30,10.411,468.68333333333334,467.71666666666664,2018-04-26,17,5,4
2_39_79_378_2018-04-26 17:11:27.137449,2-39-79-378,0002,2018-04-26T17:11:27.000+05:30,2018-04-26T20:40:26.000+05:30,2018-04-27T00:22:10.000+05:30,9.026,208.98333333333332,430.71666666666664,2018-04-26,17,5,4
2_39_95_444_2018-04-26 17:15:25.771871,2-39-95-444,0002,2018-04-26T17:15:26.000+05:30,2018-04-26T21:23:13.000+05:30,2018-04-27T01:21:54.000+05:30,14.422,247.78333333333333,486.46666666666664,2018-04-26,17,5,4
2_39_89_439_2018-04-26 17:26:50.303622,2-39-89-439,0002,2018-04-26T17:26:50.000+05:30,2018-04-26T20:43:34.000+05:30,2018-04-27T01:10:34.000+05:30,18.861,196.73333333333332,463.73333333333335,2018-04-26,17,5,4
2_39_123_557_2018-04-26 17:39:41.691514,2-39-123-557,0002,2018-04-26T17:39:42.000+05:30,2018-04-26T19:07:32.000+05:30,2018-04-27T00:37:11.000+05:30,5.728,87.83333333333333,417.48333333333335,2018-04-26,17,5,4
2_39_78_367_2018-04-26 18:43:12.499350,2-39-78-367,0002,2018-04-26T18:43:12.000+05:30,2018-04-26T19:51:48.000+05:30,2018-04-26T23:33:27.000+05:30,2.528,68.6,290.25,2018-04-26,18,5,4
2_39_91_441_2018-04-26 19:38:27.747784,2-39-91-441,0002,2018-04-26T19:38:28.000+05:30,2018-04-27T00:01:06.000+05:30,2018-04-27T02:43:36.000+05:30,2.628,262.6333333333333,425.1333333333333,2018-04-26,19,5,4
2_39_78_366_2018-04-26 20:17:40.431300,2-39-78-366,0002,2018-04-26T20:17:40.000+05:30,2018-04-26T20:52:09.000+05:30,2018-04-26T23:38:34.000+05:30,1.306,34.483333333333334,200.9,2018-04-26,20,5,4
2_39_131_30_2018-04-26 20:27:49.123093,2-39-131-30,0002,2018-04-26T20:27:49.000+05:30,2018-04-26T21:05:07.000+05:30,2018-04-27T02:57:22.000+05:30,1.801,37.3,389.55,2018-04-26,20,5,4
2_39_128_18_2018-04-26 21:02:29.696365,2-39-128-18,0002,2018-04-26T21:02:30.000+05:30,2018-04-26T22:51:42.000+05:30,2018-04-27T00:20:54.000+05:30,5.576,109.2,198.4,2018-04-26,21,5,4
2_39_78_363_2018-04-26 21:18:44.667990,2-39-78-363,0002,2018-04-26T21:18:45.000+05:30,2018-04-27T01:09:24.000+05:30,2018-04-27T02:52:20.000+05:30,16.0,230.65,333.5833333333333,2018-04-26,21,5,4
2_39_91_437_2018-04-26 23:04:48.644211,2-39-91-437,0002,2018-04-26T23:04:49.000+05:30,2018-04-26T23:32:07.000+05:30,2018-04-26T23:47:16.000+05:30,0.852,27.3,42.45,2018-04-26,23,5,4
2_39_138_29_2018-04-27 01:17:42.537477,2-39-138-29,0002,2018-04-27T01:17:43.000+05:30,2018-04-27T01:51:00.000+05:30,2018-04-27T01:51:04.000+05:30,1.829,33.28333333333333,33.35,2018-04-27,1,6,4
2_39_125_21_2018-04-27 01:22:56.974212,2-39-125-21,0002,2018-04-27T01:22:57.000+05:30,2018-04-27T17:43:11.000+05:30,2018-04-27T17:44:03.000+05:30,13.927,980.2333333333333,981.1,2018-04-27,1,6,4
2_39_139_28_2018-04-27 01:40:51.744743,2-39-139-28,0002,2018-04-27T01:40:52.000+05:30,2018-04-27T03:53:16.000+05:30,2018-04-27T03:53:24.000+05:30,13.872,132.4,132.53333333333333,2018-04-27,1,6,4
2_39_127_19_2018-04-27 01:50:33.898642,2-39-127-19,0002,2018-04-27T01:50:34.000+05:30,2018-04-27T02:47:02.000+05:30,2018-04-27T03:42:49.000+05:30,5.654,56.46666666666667,112.25,2018-04-27,1,6,4
2_39_130_31_2018-04-27 02:04:42.603854,2-39-130-31,0002,2018-04-27T02:04:43.000+05:30,2018-04-27T03:24:02.000+05:30,2018-04-27T03:47:34.000+05:30,2.558,79.31666666666666,102.85,2018-04-27,2,6,4
2_39_79_379_2018-04-27 03:10:05.502403,2-39-79-379,0002,2018-04-27T03:10:05.000+05:30,2018-04-27T05:09:39.000+05:30,2018-04-27T16:49:09.000+05:30,6.417,119.56666666666666,819.0666666666667,2018-04-27,3,6,4
2_39_138_29_2018-04-27 03:29:59.143244,2-39-138-29,0002,2018-04-27T03:29:59.000+05:30,2018-04-27T04:19:06.000+05:30,2018-04-27T04:19:11.000+05:30,5.56,49.11666666666667,49.2,2018-04-27,3,6,4
2_39_79_380_2018-04-27 05:06:12.776665,2-39-79-380,0002,2018-04-27T05:06:13.000+05:30,2018-04-27T05:25:43.000+05:30,2018-04-27T09:54:36.000+05:30,0.546,19.5,288.3833333333333,2018-04-27,5,6,4
2_39_95_27_2018-04-27 13:16:27.810757,2-39-95-27,0002,2018-04-27T13:16:28.000+05:30,2018-04-28T01:10:09.000+05:30,2018-04-28T01:10:32.000+05:30,11.323,713.6833333333333,714.0666666666667,2018-04-27,13,6,4
2_39_127_19_2018-04-27 14:14:38.589847,2-39-127-19,0002,2018-04-27T14:14:39.000+05:30,2018-04-27T15:24:19.000+05:30,2018-04-27T15:24:24.000+05:30,3.981,69.66666666666667,69.75,2018-04-27,14,6,4
2_39_79_383_2018-04-27 14:41:42.363419,2-39-79-383,0002,2018-04-27T14:41:42.000+05:30,2018-04-27T18:35:58.000+05:30,2018-04-27T21:32:39.000+05:30,17.634,234.26666666666668,410.95,2018-04-27,14,6,4
2_39_79_378_2018-04-27 15:00:25.982759,2-39-79-378,0002,2018-04-27T15:00:26.000+05:30,2018-04-27T23:47:24.000+05:30,2018-04-27T23:47:28.000+05:30,7.288,526.9666666666667,527.0333333333333,2018-04-27,15,6,4
2_39_78_366_2018-04-27 15:09:06.128880,2-39-78-366,0002,2018-04-27T15:09:06.000+05:30,2018-04-27T17:07:50.000+05:30,2018-04-27T23:53:35.000+05:30,6.236,118.73333333333333,524.4833333333333,2018-04-27,15,6,4
2_39_123_557_2018-04-27 15:09:39.108889,2-39-123-557,0002,2018-04-27T15:09:39.000+05:30,2018-04-27T16:35:56.000+05:30,2018-04-28T00:30:52.000+05:30,9.3,86.28333333333333,561.2166666666667,2018-04-27,15,6,4
